"","u_ID","ds_ID","timestamp","message"
"1",1049,"doi:10.7281/T1/QGOMA0",2022-11-27 04:14:37.608742,"This is a great dataset!"
"29",1485,"doi:10.7281/T1/OSQSMY",2024-04-18 02:24:25.477302,"This is absolutely the worst dataset I have ever seen."
"57",1321,"doi:10.7281/T1/EAFMCT",2019-10-05 21:18:30.392511,"Hello, could you please send supplementary table 2A?"
"72",1153,"doi:10.7281/T1/KWDKME",2024-11-21 09:19:37.68047,"What exactly were you thinking when you did this?"
"462",1074,"doi:10.7281/T1/4WX5QC",2024-09-19 16:12:04.19648,"I wrote my term paper using your data and I got a C+. Can you ask my professor to raise my grade?"
"566",1228,"doi:10.7281/T1/C4RVLS",2024-02-04 23:50:47.424439,"Did you know that you published your home address and social security number in this dataset?"
"573",1146,"doi:10.7281/T1/D3EV75",2023-09-06 16:55:58.252017,"Great work."
"859",1122,"doi:10.7281/T1/ZQZX80",2021-11-13 02:29:20.577994,"We should work together on a paper."
"867",1500,"doi:10.7281/T1D798BQ",2024-02-05 21:18:35.568646,"This dataset was stolen from my cupboard last month."
"927",1128,"doi:10.7281/T1/PG105Y",2023-06-19 00:33:33.004042,"Not your best work."
"1031",1303,"doi:10.7281/T1/87PH8T",2024-05-04 05:03:43.052619,"Thanks for sharing this."
"1040",1024,"doi:10.7281/T1/V3Z6DD",2023-05-14 17:03:18.448895,"You give me hope that anyone can become an academic, no matter how little skill they have."
"1120",1327,"doi:10.7281/T1/F5PD42",2024-10-10 10:19:17.98536,"Will you be my thesis advisor?"
"1168",1356,"doi:10.7281/T1/D3EV75",2023-05-14 09:34:04.114668,"I'm out of ideas of things to write."
"1454",1089,"doi:10.7281/T1/ZOW11X",2023-09-12 21:20:45.420234,"This is the last one."
